Project name:,UVEX Dichroic Coating,,,,,UVEX Dichroic Coating,,,,
Coating design:,135 180nm-FR30-S1 UVEX Dichroic Coating/FS substrate(10mm)/Air,,,,,135 180nm-FR30-S1 UVEX Dichroic Coating/FS substrate(10mm)/Air,,,,
AOI:,20° 25° 30° 35° 40°,,,,,20° 25° 30° 35° 40°,,,,
,,,,,,,,,,
wl(nm),%R,,,,,%T,,,,
,20°,25°,30°,35°,40°,20°,25°,30°,35°,40°
190,20.64,8.67,6.58,11.73,10.82,76.28,87.80,89.75,84.72,85.46
191,14.29,7.02,7.54,12.86,8.67,82.54,89.53,88.96,83.76,87.65
192,10.28,6.34,9.14,13.00,6.82,86.57,90.33,87.57,83.75,89.58
193,7.98,6.43,10.96,12.02,6.05,88.92,90.37,85.92,84.80,90.45
194,6.70,7.23,12.27,10.25,6.62,90.26,89.70,84.76,86.61,90.03
195,6.18,8.62,12.84,8.21,8.18,90.85,88.44,84.28,88.67,88.63
196,6.40,10.24,12.51,6.49,10.13,90.72,86.94,84.68,90.42,86.84
197,7.33,11.67,11.29,5.67,11.89,89.89,85.63,85.92,91.29,85.22
198,8.77,12.48,9.47,5.99,13.04,88.55,84.90,87.76,91.06,84.19
199,10.37,12.46,7.51,7.31,13.40,87.08,85.00,89.73,89.87,83.93
200,11.68,11.55,5.99,9.13,13.00,85.88,85.95,91.30,88.20,84.40
201,12.38,9.91,5.38,10.97,12.00,85.26,87.62,91.97,86.50,85.45
202,12.19,7.95,5.91,12.29,10.70,85.51,89.60,91.54,85.30,86.79
203,11.12,6.24,7.36,12.84,9.47,86.64,91.36,90.23,84.86,88.07
204,9.41,5.31,9.21,12.60,8.63,88.39,92.35,88.52,85.18,88.99
205,7.49,5.46,10.92,11.72,8.32,90.33,92.29,86.94,86.11,89.36
206,5.92,6.59,12.07,10.50,8.49,91.94,91.27,85.88,87.38,89.28
207,5.18,8.30,12.49,9.27,8.90,92.76,89.69,85.56,88.67,88.97
208,5.48,10.06,12.17,8.34,9.27,92.56,88.05,85.96,89.66,88.70
209,6.68,11.44,11.27,7.91,9.37,91.47,86.78,86.93,90.18,88.69
210,8.38,12.17,10.07,7.95,9.09,89.90,86.16,88.19,90.22,89.05
211,10.01,12.16,8.92,8.28,8.48,88.31,86.18,89.33,89.91,89.66
212,11.27,11.54,8.06,8.66,7.68,87.08,86.79,90.18,89.55,90.45
213,11.95,10.53,7.63,8.88,6.90,86.43,87.80,90.61,89.35,91.22
214,11.96,9.37,7.63,8.79,6.39,86.43,88.94,90.61,89.44,91.72
215,11.39,8.35,7.93,8.37,6.37,87.01,89.97,90.35,89.87,91.77
216,10.43,7.67,8.30,7.69,6.91,87.98,90.66,90.01,90.56,91.27
217,9.31,7.41,8.54,6.89,7.95,89.05,90.88,89.74,91.30,90.21
218,8.30,7.52,8.51,6.21,9.31,90.01,90.74,89.73,91.93,88.84
219,7.60,7.84,8.17,5.86,10.76,90.67,90.40,90.04,92.25,87.39
220,7.31,8.18,7.55,5.98,12.04,90.93,90.04,90.61,92.09,86.10
221,7.40,8.39,6.84,6.59,12.94,90.81,89.81,91.28,91.47,85.19
222,7.72,8.33,6.15,7.59,13.42,90.47,89.82,91.92,90.45,84.69
223,8.09,7.99,5.66,8.85,13.44,90.07,90.13,92.36,89.19,84.63
224,8.34,7.40,5.53,10.16,13.02,89.79,90.67,92.45,87.87,85.01
225,8.37,6.68,5.85,11.34,12.21,89.73,91.35,92.11,86.68,85.77
226,8.11,5.98,6.59,12.24,11.12,89.96,92.00,91.35,85.77,86.80
227,7.59,5.49,7.67,12.75,9.88,90.44,92.45,90.26,85.24,87.97
228,6.89,5.33,8.92,12.84,8.65,91.09,92.57,89.01,85.13,89.14
229,6.16,5.60,10.16,12.49,7.58,91.77,92.27,87.76,85.43,90.15
230,5.56,6.29,11.23,11.78,6.80,92.33,91.57,86.69,86.10,90.89
231,5.24,7.30,11.99,10.78,6.36,92.61,90.55,85.92,87.04,91.28
232,5.30,8.50,12.37,9.62,6.28,92.52,89.35,85.51,88.14,91.33
233,5.78,9.71,12.34,8.45,6.49,92.02,88.13,85.52,89.25,91.10
234,6.62,10.78,11.92,7.40,6.89,91.16,87.06,85.90,90.25,90.68
235,7.72,11.58,11.16,6.59,7.35,90.06,86.26,86.61,91.01,90.20
236,8.91,12.02,10.17,6.10,7.77,88.87,85.80,87.56,91.46,89.77
237,10.05,12.07,9.05,5.94,8.05,87.74,85.72,88.61,91.59,89.47
238,10.98,11.74,7.96,6.06,8.13,86.81,86.02,89.65,91.45,89.35
239,11.60,11.08,7.00,6.39,8.02,86.17,86.63,90.56,91.10,89.44
240,11.87,10.17,6.29,6.81,7.71,85.88,87.49,91.23,90.66,89.70
241,11.77,9.04,5.83,7.23,7.22,85.98,88.59,91.68,90.26,90.18
242,11.25,7.89,5.71,7.52,6.67,86.49,89.72,91.79,89.97,90.70
243,10.40,6.87,5.88,7.62,6.20,87.32,90.71,91.63,89.88,91.16
244,9.33,6.11,6.23,7.50,5.92,88.36,91.46,91.29,89.99,91.43
245,8.19,5.66,6.64,7.19,5.91,89.47,91.90,90.90,90.29,91.43
246,7.13,5.53,6.99,6.74,6.23,90.51,92.03,90.55,90.73,91.12
247,6.27,5.67,7.20,6.24,6.86,91.35,91.89,90.35,91.21,90.50
248,5.69,6.00,7.22,5.80,7.74,91.91,91.58,90.33,91.63,89.65
249,5.43,6.38,7.05,5.53,8.76,92.17,91.21,90.50,91.89,88.67
250,5.46,6.72,6.70,5.51,9.79,92.15,90.88,90.83,91.91,87.66
251,5.72,6.96,6.26,5.75,10.75,91.94,90.68,91.29,91.71,86.76
252,6.10,7.02,5.80,6.30,11.53,91.61,90.66,91.79,91.22,86.04
253,6.49,6.89,5.40,7.10,12.06,91.27,90.83,92.20,90.48,85.57
254,6.79,6.57,5.18,8.07,12.28,91.00,91.17,92.45,89.57,85.40
255,6.93,6.14,5.22,9.10,12.17,90.90,91.62,92.46,88.60,85.53
256,6.89,5.67,5.54,10.08,11.75,90.99,92.12,92.18,87.68,85.98
257,6.65,5.26,6.14,10.91,11.05,91.25,92.56,91.63,86.91,86.70
258,6.27,5.00,6.98,11.51,10.13,91.66,92.85,90.85,86.37,87.64
259,5.80,4.98,7.96,11.83,9.07,92.14,92.90,89.93,86.09,88.70
260,5.34,5.23,8.98,11.83,7.99,92.62,92.69,88.97,86.12,89.79
261,4.99,5.76,9.94,11.53,6.98,92.97,92.17,88.03,86.42,90.78
262,4.82,6.54,10.75,10.93,6.16,93.14,91.41,87.25,87.00,91.58
263,4.91,7.49,11.32,10.10,5.62,93.06,90.49,86.69,87.82,92.11
264,5.27,8.51,11.62,9.10,5.42,92.71,89.50,86.41,88.80,92.32
265,5.90,9.50,11.60,8.03,5.57,92.10,88.54,86.43,89.85,92.18
266,6.75,10.36,11.28,6.99,6.03,91.28,87.70,86.74,90.87,91.74
267,7.73,11.03,10.69,6.09,6.74,90.32,87.05,87.33,91.76,91.05
268,8.75,11.43,9.86,5.42,7.60,89.33,86.67,88.15,92.42,90.22
269,9.71,11.53,8.87,5.05,8.52,88.40,86.57,89.12,92.79,89.34
270,10.52,11.34,7.81,5.01,9.39,87.61,86.76,90.16,92.84,88.50
271,11.11,10.85,6.78,5.29,10.14,87.04,87.24,91.17,92.56,87.78
272,11.43,10.12,5.88,5.86,10.70,86.73,87.96,92.06,92.02,87.23
273,11.46,9.20,5.20,6.62,11.04,86.70,88.86,92.73,91.28,86.91
274,11.19,8.18,4.80,7.50,11.15,86.96,89.87,93.12,90.43,86.81
275,10.65,7.13,4.72,8.40,11.02,87.50,90.90,93.21,89.56,86.95
276,9.88,6.16,4.96,9.23,10.66,88.25,91.86,92.98,88.76,87.30
277,8.94,5.37,5.48,9.92,10.12,89.18,92.64,92.49,88.09,87.83
278,7.91,4.82,6.20,10.43,9.43,90.19,93.19,91.79,87.60,88.51
279,6.88,4.56,7.05,10.72,8.67,91.21,93.44,90.96,87.33,89.26
280,5.94,4.62,7.94,10.77,7.88,92.14,93.39,90.10,87.28,90.04
281,5.18,4.97,8.79,10.59,7.14,92.89,93.05,89.28,87.46,90.76
282,4.67,5.57,9.52,10.21,6.51,93.39,92.48,88.56,87.84,91.38
283,4.45,6.35,10.09,9.65,6.05,93.61,91.72,88.02,88.40,91.84
284,4.54,7.22,10.45,8.96,5.79,93.54,90.88,87.67,89.08,92.11
285,4.91,8.10,10.58,8.19,5.74,93.18,90.03,87.55,89.83,92.16
286,5.52,8.91,10.49,7.42,5.90,92.59,89.24,87.64,90.59,92.01
287,6.29,9.60,10.18,6.69,6.23,91.84,88.57,87.95,91.31,91.69
288,7.16,10.10,9.69,6.08,6.70,91.00,88.08,88.44,91.91,91.24
289,8.03,10.41,9.06,5.63,7.25,90.15,87.79,89.06,92.36,90.71
290,8.85,10.49,8.32,5.36,7.82,89.36,87.71,89.79,92.63,90.16
291,9.53,10.35,7.55,5.30,8.35,88.69,87.85,90.55,92.69,89.65
292,10.05,10.01,6.80,5.44,8.81,88.19,88.19,91.29,92.57,89.21
293,10.36,9.49,6.13,5.75,9.14,87.89,88.70,91.95,92.27,88.88
294,10.46,8.84,5.59,6.19,9.34,87.80,89.34,92.48,91.84,88.69
295,10.34,8.11,5.22,6.72,9.38,87.92,90.07,92.85,91.34,88.65
296,10.03,7.35,5.05,7.26,9.27,88.23,90.82,93.03,90.81,88.77
297,9.55,6.62,5.06,7.79,9.01,88.71,91.54,93.03,90.30,89.03
298,8.93,5.97,5.25,8.25,8.62,89.32,92.19,92.85,89.85,89.41
299,8.22,5.44,5.59,8.62,8.13,90.02,92.71,92.53,89.50,89.90
300,7.47,5.07,6.04,8.86,7.57,90.77,93.08,92.09,89.27,90.45
301,6.79,4.90,6.51,8.95,7.04,91.45,93.27,91.65,89.19,90.98
302,6.17,4.88,7.00,8.93,6.53,92.08,93.31,91.19,89.24,91.51
303,5.63,5.00,7.47,8.79,6.05,92.62,93.21,90.75,89.39,91.99
304,5.22,5.26,7.89,8.54,5.65,93.05,92.98,90.35,89.65,92.40
305,4.94,5.62,8.24,8.20,5.36,93.34,92.65,90.02,90.01,92.71
306,4.81,6.04,8.50,7.77,5.18,93.49,92.25,89.79,90.44,92.90
307,4.83,6.51,8.66,7.30,5.15,93.49,91.81,89.65,90.92,92.95
308,4.98,6.98,8.70,6.80,5.26,93.36,91.36,89.63,91.43,92.86
309,5.25,7.43,8.63,6.30,5.52,93.11,90.94,89.71,91.94,92.63
310,5.61,7.83,8.45,5.82,5.91,92.78,90.56,89.90,92.42,92.26
311,6.04,8.16,8.18,5.41,6.42,92.37,90.26,90.19,92.84,91.78
312,6.50,8.39,7.81,5.08,7.02,91.94,90.05,90.56,93.18,91.21
313,6.96,8.52,7.39,4.86,7.69,91.50,89.93,91.00,93.42,90.57
314,7.40,8.55,6.91,4.76,8.40,91.09,89.92,91.48,93.53,89.90
315,7.78,8.46,6.42,4.80,9.11,90.73,90.02,91.98,93.51,89.22
316,8.09,8.28,5.94,4.97,9.81,90.44,90.22,92.47,93.36,88.55
317,8.32,8.00,5.50,5.28,10.47,90.23,90.51,92.92,93.08,87.92
318,8.44,7.64,5.11,5.70,11.06,90.13,90.88,93.32,92.68,87.36
319,8.46,7.22,4.81,6.22,11.57,90.12,91.31,93.63,92.19,86.88
320,8.38,6.76,4.61,6.83,11.98,90.22,91.78,93.84,91.61,86.49
321,8.20,6.28,4.53,7.49,12.29,90.41,92.26,93.93,90.98,86.20
322,7.93,5.81,4.58,8.17,12.48,90.69,92.74,93.90,90.32,86.03
323,7.58,5.38,4.76,8.86,12.56,91.05,93.18,93.75,89.66,85.97
324,7.17,5.00,5.06,9.53,12.51,91.47,93.57,93.47,89.02,86.03
325,6.72,4.70,5.47,10.16,12.35,91.93,93.88,93.08,88.42,86.20
326,6.25,4.50,5.97,10.72,12.07,92.40,94.09,92.60,87.88,86.49
327,5.79,4.41,6.56,11.20,11.69,92.87,94.20,92.04,87.43,86.88
328,5.36,4.44,7.19,11.59,11.21,93.31,94.19,91.43,87.06,87.37
329,4.98,4.59,7.86,11.87,10.65,93.70,94.05,90.80,86.79,87.94
330,4.67,4.86,8.53,12.05,10.02,94.02,93.80,90.15,86.63,88.57
331,4.46,5.24,9.18,12.11,9.33,94.25,93.44,89.52,86.58,89.26
332,4.35,5.72,9.79,12.06,8.62,94.37,92.99,88.93,86.65,89.98
333,4.35,6.27,10.35,11.90,7.89,94.38,92.46,88.40,86.82,90.71
334,4.47,6.87,10.84,11.63,7.17,94.28,91.88,87.93,87.10,91.43
335,4.71,7.52,11.24,11.26,6.49,94.06,91.26,87.55,87.48,92.12
336,5.05,8.17,11.54,10.80,5.87,93.73,90.63,87.27,87.95,92.74
337,5.49,8.81,11.74,10.26,5.34,93.31,90.01,87.08,88.49,93.29
338,6.01,9.43,11.83,9.66,4.90,92.82,89.42,87.01,89.10,93.74
339,6.59,9.99,11.82,9.00,4.58,92.26,88.87,87.03,89.76,94.07
340,7.21,10.50,11.70,8.32,4.40,91.66,88.39,87.17,90.45,94.27
341,7.85,10.92,11.47,7.62,4.35,91.04,87.98,87.40,91.16,94.33
342,8.49,11.26,11.15,6.94,4.45,90.43,87.66,87.74,91.85,94.25
343,9.11,11.50,10.73,6.28,4.68,89.83,87.44,88.16,92.51,94.04
344,9.68,11.64,10.24,5.67,5.05,89.28,87.31,88.66,93.12,93.70
345,10.20,11.68,9.68,5.14,5.53,88.77,87.29,89.23,93.67,93.24
346,10.66,11.61,9.06,4.70,6.11,88.34,87.37,89.85,94.12,92.68
347,11.03,11.44,8.41,4.36,6.78,87.99,87.55,90.51,94.47,92.04
348,11.31,11.18,7.74,4.14,7.51,87.72,87.82,91.18,94.70,91.33
349,11.49,10.82,7.07,4.04,8.29,87.55,88.19,91.86,94.81,90.58
350,11.58,10.38,6.42,4.08,9.08,87.47,88.63,92.52,94.80,89.82
351,11.58,9.90,5.84,4.23,9.85,87.49,89.12,93.11,94.66,89.08
352,11.49,9.36,5.30,4.50,10.60,87.59,89.67,93.65,94.42,88.35
353,11.30,8.79,4.83,4.87,11.33,87.79,90.25,94.13,94.06,87.64
354,11.03,8.18,4.45,5.33,12.03,88.06,90.87,94.53,93.62,86.97
355,10.69,7.55,4.15,5.88,12.67,88.42,91.50,94.84,93.09,86.35
356,10.27,6.93,3.95,6.50,13.27,88.85,92.13,95.05,92.50,85.78
357,9.78,6.33,3.87,7.17,13.80,89.34,92.74,95.15,91.85,85.27
358,9.25,5.75,3.89,7.88,14.26,89.88,93.32,95.14,91.16,84.82
359,8.67,5.23,4.02,8.61,14.65,90.46,93.85,95.03,90.46,84.45
360,8.07,4.77,4.26,9.35,14.97,91.07,94.32,94.80,89.74,84.15
361,7.46,4.38,4.60,10.08,15.21,91.69,94.72,94.48,89.03,83.93
362,6.85,4.08,5.03,10.79,15.37,92.31,95.03,94.07,88.35,83.78
363,6.25,3.88,5.54,11.47,15.46,92.91,95.25,93.58,87.69,83.71
364,5.69,3.77,6.12,12.10,15.47,93.48,95.36,93.02,87.07,83.71
365,5.18,3.78,6.76,12.69,15.40,94.01,95.38,92.40,86.50,83.79
366,4.72,3.88,7.43,13.22,15.26,94.47,95.28,91.75,85.99,83.94
367,4.34,4.09,8.13,13.69,15.05,94.86,95.09,91.07,85.54,84.16
368,4.04,4.40,8.84,14.10,14.78,95.17,94.80,90.38,85.15,84.45
369,3.84,4.80,9.56,14.43,14.44,95.39,94.42,89.69,84.83,84.80
370,3.73,5.27,10.25,14.69,14.05,95.51,93.96,89.01,84.59,85.20
371,3.72,5.82,10.93,14.87,13.60,95.53,93.44,88.35,84.42,85.66
372,3.81,6.42,11.56,14.99,13.10,95.45,92.85,87.73,84.32,86.16
373,4.01,7.06,12.16,15.03,12.57,95.27,92.23,87.16,84.29,86.71
