"46 layers, 1.45 microns total thickness",,
,,
nm,R,T
655,0.087393,0.912414
655.5,0.087514,0.912294
656,0.087631,0.912177
656.5,0.087745,0.912064
657,0.087854,0.911955
657.5,0.087959,0.91185
658,0.08806,0.911749
658.5,0.088157,0.911653
659,0.088249,0.91156
659.5,0.088337,0.911473
660,0.088421,0.911389
660.5,0.0885,0.91131
661,0.088575,0.911236
661.5,0.088645,0.911166
662,0.08871,0.911101
662.5,0.088771,0.911041
663,0.088827,0.910985
663.5,0.088879,0.910934
664,0.088925,0.910888
664.5,0.088967,0.910846
665,0.089004,0.910809
665.5,0.089036,0.910778
666,0.089064,0.91075
666.5,0.089086,0.910728
667,0.089104,0.910711
667.5,0.089116,0.910698
668,0.089124,0.910691
668.5,0.089127,0.910688
669,0.089126,0.91069
669.5,0.089119,0.910697
670,0.089107,0.910709
670.5,0.089091,0.910725
671,0.08907,0.910747
671.5,0.089044,0.910773
672,0.089014,0.910804
672.5,0.088978,0.910839
673,0.088938,0.91088
673.5,0.088894,0.910925
674,0.088844,0.910974
674.5,0.088791,0.911028
675,0.088732,0.911087
675.5,0.088669,0.91115
676,0.088602,0.911217
676.5,0.08853,0.911289
677,0.088454,0.911366
677.5,0.088374,0.911446
678,0.08829,0.911531
678.5,0.088201,0.91162
679,0.088108,0.911713
679.5,0.088011,0.91181
680,0.087911,0.911911
680.5,0.087806,0.912016
681,0.087697,0.912125
681.5,0.087585,0.912237
682,0.087469,0.912353
682.5,0.08735,0.912473
683,0.087227,0.912596
683.5,0.0871,0.912723
684,0.08697,0.912853
684.5,0.086837,0.912987
685,0.086701,0.913123
685.5,0.086561,0.913263
686,0.086419,0.913406
686.5,0.086273,0.913551
687,0.086125,0.9137
687.5,0.085974,0.913851
688,0.08582,0.914005
688.5,0.085664,0.914162
689,0.085505,0.914321
689.5,0.085344,0.914482
690,0.085181,0.914646
690.5,0.085015,0.914811
691,0.084847,0.914979
691.5,0.084678,0.915149
692,0.084506,0.915321
692.5,0.084333,0.915494
693,0.084158,0.91567
693.5,0.083981,0.915847
694,0.083803,0.916025
694.5,0.083624,0.916204
695,0.083443,0.916385
695.5,0.083261,0.916568
696,0.083078,0.916751
696.5,0.082894,0.916935
697,0.082709,0.91712
697.5,0.082524,0.917306
698,0.082337,0.917492
698.5,0.082151,0.917679
699,0.081963,0.917867
699.5,0.081776,0.918055
700,0.081588,0.918243
700.5,0.0814,0.918431
701,0.081212,0.918619
701.5,0.081024,0.918808
702,0.080836,0.918996
702.5,0.080648,0.919184
703,0.080461,0.919371
703.5,0.080274,0.919558
704,0.080087,0.919745
704.5,0.079902,0.919931
705,0.079717,0.920116
705.5,0.079532,0.9203
706,0.079349,0.920484
706.5,0.079167,0.920666
707,0.078986,0.920848
707.5,0.078806,0.921028
708,0.078627,0.921207
708.5,0.07845,0.921384
709,0.078274,0.921561
709.5,0.078099,0.921735
710,0.077926,0.921908
710.5,0.077755,0.92208
711,0.077586,0.922249
711.5,0.077418,0.922417
712,0.077252,0.922583
712.5,0.077089,0.922747
713,0.076927,0.922909
713.5,0.076768,0.923068
714,0.07661,0.923226
714.5,0.076456,0.923381
715,0.076303,0.923534
715.5,0.076153,0.923684
716,0.076005,0.923832
716.5,0.07586,0.923977
717,0.075717,0.92412
717.5,0.075577,0.92426
718,0.07544,0.924398
718.5,0.075306,0.924532
719,0.075174,0.924664
719.5,0.075045,0.924793
720,0.07492,0.924919
720.5,0.074797,0.925042
721,0.074677,0.925162
721.5,0.074561,0.925279
722,0.074447,0.925393
722.5,0.074337,0.925503
723,0.074229,0.925611
723.5,0.074125,0.925715
724,0.074025,0.925816
724.5,0.073927,0.925913
725,0.073833,0.926008
725.5,0.073742,0.926099
726,0.073655,0.926186
726.5,0.073571,0.92627
727,0.073491,0.926351
727.5,0.073414,0.926428
728,0.07334,0.926502
728.5,0.07327,0.926572
729,0.073204,0.926639
729.5,0.07314,0.926702
730,0.073081,0.926762
730.5,0.073025,0.926818
731,0.072973,0.926871
731.5,0.072924,0.92692
732,0.072878,0.926965
732.5,0.072837,0.927007
733,0.072798,0.927046
733.5,0.072764,0.92708
734,0.072733,0.927112
734.5,0.072705,0.92714
735,0.072681,0.927164
735.5,0.072661,0.927184
736,0.072644,0.927202
736.5,0.07263,0.927215
737,0.07262,0.927226
737.5,0.072614,0.927232
738,0.07261,0.927236
738.5,0.072611,0.927236
739,0.072615,0.927232
739.5,0.072622,0.927225
740,0.072632,0.927215
740.5,0.072646,0.927201
741,0.072663,0.927184
741.5,0.072684,0.927164
742,0.072707,0.92714
742.5,0.072734,0.927114
743,0.072764,0.927084
743.5,0.072798,0.927051
744,0.072834,0.927015
744.5,0.072874,0.926975
745,0.072916,0.926933
745.5,0.072962,0.926888
746,0.07301,0.926839
746.5,0.073061,0.926788
747,0.073116,0.926734
747.5,0.073173,0.926677
748,0.073233,0.926618
748.5,0.073295,0.926556
749,0.07336,0.926491
749.5,0.073428,0.926423
750,0.073499,0.926353
750.5,0.073572,0.92628
751,0.073647,0.926204
751.5,0.073725,0.926127
752,0.073806,0.926046
752.5,0.073888,0.925964
753,0.073974,0.925879
753.5,0.074061,0.925792
754,0.07415,0.925703
754.5,0.074242,0.925611
755,0.074336,0.925518
755.5,0.074432,0.925422
756,0.074529,0.925324
756.5,0.074629,0.925225
757,0.074731,0.925124
757.5,0.074834,0.925021
758,0.074939,0.924916
758.5,0.075046,0.924809
759,0.075154,0.924701
759.5,0.075264,0.924591
760,0.075376,0.92448
760.5,0.075489,0.924367
761,0.075603,0.924253
761.5,0.075719,0.924137
762,0.075836,0.924021
762.5,0.075954,0.923903
763,0.076073,0.923784
763.5,0.076193,0.923663
764,0.076315,0.923542
764.5,0.076437,0.92342
765,0.076561,0.923297
765.5,0.076685,0.923173
766,0.07681,0.923048
766.5,0.076936,0.922922
767,0.077062,0.922796
767.5,0.077189,0.922669
768,0.077317,0.922542
768.5,0.077445,0.922414
769,0.077574,0.922285
769.5,0.077703,0.922156
770,0.077832,0.922027
770.5,0.077962,0.921898
771,0.078092,0.921768
771.5,0.078222,0.921638
772,0.078352,0.921508
772.5,0.078483,0.921378
773,0.078613,0.921248
773.5,0.078743,0.921118
774,0.078873,0.920988
774.5,0.079003,0.920858
775,0.079133,0.920729
775.5,0.079262,0.9206
776,0.079391,0.920471
776.5,0.07952,0.920342
777,0.079649,0.920214
777.5,0.079776,0.920086
778,0.079904,0.919959
778.5,0.080031,0.919832
779,0.080157,0.919706
779.5,0.080282,0.919581
780,0.080407,0.919456
780.5,0.080531,0.919332
781,0.080655,0.919209
781.5,0.080777,0.919087
782,0.080899,0.918966
782.5,0.081019,0.918845
783,0.081139,0.918726
783.5,0.081258,0.918607
784,0.081375,0.91849
784.5,0.081492,0.918374
785,0.081607,0.918259
785.5,0.081721,0.918145
786,0.081834,0.918032
786.5,0.081946,0.91792
787,0.082056,0.91781
787.5,0.082165,0.917701
788,0.082273,0.917594
788.5,0.082379,0.917487
789,0.082484,0.917383
789.5,0.082588,0.91728
790,0.08269,0.917178
790.5,0.08279,0.917077
791,0.082889,0.916979
791.5,0.082986,0.916882
792,0.083082,0.916786
792.5,0.083176,0.916692
793,0.083268,0.9166
793.5,0.083359,0.91651
794,0.083448,0.916421
794.5,0.083535,0.916334
795,0.083621,0.916248
795.5,0.083705,0.916165
796,0.083787,0.916083
796.5,0.083867,0.916003
797,0.083945,0.915925
797.5,0.084022,0.915849
798,0.084096,0.915774
798.5,0.084169,0.915702
799,0.08424,0.915631
799.5,0.084308,0.915562
800,0.084375,0.915496
800.5,0.08444,0.915431
801,0.084503,0.915368
801.5,0.084564,0.915308
802,0.084623,0.915249
802.5,0.08468,0.915192
803,0.084734,0.915138
803.5,0.084787,0.915085
804,0.084838,0.915035
804.5,0.084886,0.914986
805,0.084933,0.91494
805.5,0.084977,0.914895
806,0.08502,0.914853
806.5,0.08506,0.914813
807,0.085098,0.914775
807.5,0.085134,0.914739
808,0.085168,0.914705
808.5,0.0852,0.914674
809,0.08523,0.914644
809.5,0.085257,0.914617
810,0.085283,0.914591
810.5,0.085306,0.914568
811,0.085328,0.914547
811.5,0.085347,0.914528
812,0.085364,0.914511
812.5,0.085378,0.914497
813,0.085391,0.914484
813.5,0.085402,0.914474
814,0.08541,0.914465
814.5,0.085417,0.914459
815,0.085421,0.914455
815.5,0.085423,0.914453
816,0.085423,0.914453
816.5,0.085422,0.914455
817,0.085418,0.914459
817.5,0.085411,0.914465
818,0.085403,0.914473
818.5,0.085393,0.914484
819,0.085381,0.914496
819.5,0.085367,0.914511
820,0.08535,0.914527
820.5,0.085332,0.914545
821,0.085312,0.914566
821.5,0.08529,0.914588
822,0.085266,0.914612
822.5,0.085239,0.914639
823,0.085211,0.914667
823.5,0.085181,0.914697
824,0.08515,0.914729
824.5,0.085116,0.914763
825,0.08508,0.914799
825.5,0.085043,0.914836
826,0.085003,0.914876
826.5,0.084962,0.914917
827,0.084919,0.91496
827.5,0.084874,0.915005
828,0.084828,0.915052
828.5,0.08478,0.9151
829,0.08473,0.91515
829.5,0.084678,0.915202
830,0.084624,0.915256
830.5,0.084569,0.915311
831,0.084513,0.915368
831.5,0.084454,0.915427
832,0.084394,0.915487
832.5,0.084332,0.915548
833,0.084269,0.915612
833.5,0.084205,0.915676
834,0.084138,0.915743
834.5,0.084071,0.915811
835,0.084001,0.91588
835.5,0.083931,0.915951
836,0.083859,0.916023
836.5,0.083785,0.916097
837,0.08371,0.916172
837.5,0.083634,0.916248
838,0.083557,0.916326
838.5,0.083478,0.916405
839,0.083398,0.916485
839.5,0.083316,0.916566
840,0.083234,0.916649
840.5,0.08315,0.916733
841,0.083065,0.916818
841.5,0.082979,0.916904
842,0.082892,0.916992
842.5,0.082803,0.91708
843,0.082714,0.91717
843.5,0.082623,0.91726
844,0.082532,0.917352
844.5,0.082439,0.917445
845,0.082346,0.917538
845.5,0.082252,0.917632
846,0.082157,0.917728
846.5,0.082061,0.917824
847,0.081964,0.917921
847.5,0.081866,0.918019
848,0.081767,0.918118
848.5,0.081668,0.918217
849,0.081568,0.918317
849.5,0.081467,0.918418
850,0.081366,0.918519
850.5,0.081264,0.918621
851,0.081162,0.918724
851.5,0.081059,0.918827
852,0.080955,0.91893
852.5,0.080851,0.919035
853,0.080747,0.919139
853.5,0.080642,0.919245
854,0.080536,0.91935
854.5,0.08043,0.919456
855,0.080324,0.919563
855.5,0.080217,0.91967
856,0.08011,0.919777
856.5,0.080003,0.919884
857,0.079895,0.919992
857.5,0.079787,0.9201
858,0.079679,0.920208
858.5,0.079571,0.920317
859,0.079462,0.920425
859.5,0.079354,0.920534
860,0.079245,0.920643
860.5,0.079136,0.920751
861,0.079028,0.92086
861.5,0.078919,0.920969
862,0.07881,0.921078
862.5,0.078701,0.921187
863,0.078592,0.921296
863.5,0.078484,0.921405
864,0.078375,0.921514
864.5,0.078267,0.921622
865,0.078158,0.92173
865.5,0.07805,0.921839
866,0.077943,0.921947
866.5,0.077835,0.922054
867,0.077728,0.922162
867.5,0.077621,0.922269
868,0.077514,0.922375
868.5,0.077408,0.922482
869,0.077302,0.922588
869.5,0.077196,0.922694
870,0.077091,0.922799
870.5,0.076986,0.922904
871,0.076882,0.923008
871.5,0.076779,0.923112
872,0.076675,0.923215
872.5,0.076573,0.923318
873,0.076471,0.92342
873.5,0.076369,0.923522
874,0.076268,0.923623
874.5,0.076168,0.923723
875,0.076069,0.923823
875.5,0.07597,0.923921
876,0.075872,0.92402
876.5,0.075774,0.924117
877,0.075678,0.924214
877.5,0.075582,0.92431
878,0.075487,0.924405
878.5,0.075392,0.9245
879,0.075299,0.924593
879.5,0.075206,0.924686
880,0.075115,0.924778
880.5,0.075024,0.924869
881,0.074934,0.924959
881.5,0.074845,0.925048
882,0.074757,0.925136
882.5,0.07467,0.925223
883,0.074584,0.925309
883.5,0.074499,0.925394
884,0.074415,0.925478
884.5,0.074332,0.925561
885,0.07425,0.925643
885.5,0.074169,0.925724
886,0.07409,0.925804
886.5,0.074011,0.925883
887,0.073934,0.92596
887.5,0.073857,0.926037
888,0.073782,0.926112
888.5,0.073708,0.926186
889,0.073635,0.926259
889.5,0.073564,0.92633
890,0.073494,0.926401
890.5,0.073424,0.92647
891,0.073357,0.926538
891.5,0.07329,0.926605
892,0.073225,0.92667
892.5,0.073161,0.926735
893,0.073098,0.926797
893.5,0.073036,0.926859
894,0.072976,0.926919
894.5,0.072917,0.926978
895,0.07286,0.927036
895.5,0.072804,0.927092
896,0.072749,0.927147
896.5,0.072695,0.927201
897,0.072643,0.927253
897.5,0.072593,0.927304
898,0.072543,0.927353
898.5,0.072495,0.927401
899,0.072449,0.927448
899.5,0.072404,0.927493
900,0.07236,0.927536
900.5,0.072318,0.927579
901,0.072277,0.92762
901.5,0.072238,0.927659
902,0.0722,0.927697
902.5,0.072164,0.927734
903,0.072129,0.927769
903.5,0.072095,0.927802
904,0.072063,0.927835
904.5,0.072032,0.927865
905,0.072003,0.927895
905.5,0.071976,0.927922
906,0.071949,0.927949
906.5,0.071925,0.927974
907,0.071901,0.927997
907.5,0.07188,0.928019
908,0.071859,0.928039
908.5,0.071841,0.928058
909,0.071823,0.928075
909.5,0.071808,0.928091
910,0.071793,0.928106
910.5,0.07178,0.928119
911,0.071769,0.92813
911.5,0.071759,0.92814
912,0.071751,0.928149
912.5,0.071744,0.928156
913,0.071738,0.928161
913.5,0.071734,0.928166
914,0.071731,0.928168
914.5,0.07173,0.92817
915,0.071731,0.928169
915.5,0.071733,0.928168
916,0.071736,0.928164
916.5,0.071741,0.92816
917,0.071747,0.928154
917.5,0.071754,0.928146
918,0.071763,0.928137
918.5,0.071774,0.928127
919,0.071786,0.928115
919.5,0.071799,0.928102
920,0.071814,0.928087
920.5,0.07183,0.928071
921,0.071848,0.928053
921.5,0.071867,0.928034
922,0.071888,0.928014
922.5,0.07191,0.927992
923,0.071933,0.927969
923.5,0.071957,0.927944
924,0.071984,0.927918
924.5,0.072011,0.927891
925,0.07204,0.927862
925.5,0.07207,0.927832
926,0.072101,0.927801
926.5,0.072134,0.927768
927,0.072168,0.927734
927.5,0.072204,0.927699
928,0.07224,0.927662
928.5,0.072278,0.927625
929,0.072318,0.927585
929.5,0.072358,0.927545
930,0.0724,0.927503
930.5,0.072443,0.92746
931,0.072488,0.927416
931.5,0.072533,0.92737
932,0.07258,0.927323
932.5,0.072628,0.927275
933,0.072678,0.927226
933.5,0.072728,0.927176
934,0.07278,0.927124
934.5,0.072833,0.927071
935,0.072887,0.927017
935.5,0.072942,0.926962
936,0.072998,0.926906
936.5,0.073056,0.926849
937,0.073114,0.92679
937.5,0.073174,0.926731
938,0.073235,0.92667
938.5,0.073297,0.926609
939,0.073359,0.926546
939.5,0.073423,0.926482
940,0.073488,0.926417
940.5,0.073554,0.926351
941,0.073621,0.926284
941.5,0.073689,0.926216
942,0.073758,0.926147
942.5,0.073828,0.926078
943,0.073899,0.926007
943.5,0.073971,0.925935
944,0.074044,0.925862
944.5,0.074118,0.925789
945,0.074192,0.925714
945.5,0.074268,0.925639
946,0.074344,0.925562
946.5,0.074422,0.925485
947,0.0745,0.925407
947.5,0.074579,0.925328
948,0.074659,0.925248
948.5,0.07474,0.925168
949,0.074821,0.925086
949.5,0.074903,0.925004
950,0.074986,0.924921
950.5,0.07507,0.924837
951,0.075155,0.924753
951.5,0.07524,0.924668
952,0.075326,0.924582
952.5,0.075412,0.924496
953,0.0755,0.924408
953.5,0.075588,0.924321
954,0.075676,0.924232
954.5,0.075766,0.924143
955,0.075855,0.924053
955.5,0.075946,0.923963
956,0.076037,0.923872
956.5,0.076128,0.92378
957,0.076221,0.923688
957.5,0.076313,0.923596
958,0.076407,0.923503
958.5,0.0765,0.923409
959,0.076595,0.923315
959.5,0.076689,0.92322
960,0.076784,0.923125
960.5,0.07688,0.92303
961,0.076976,0.922934
961.5,0.077073,0.922837
962,0.07717,0.922741
962.5,0.077267,0.922643
963,0.077365,0.922546
963.5,0.077463,0.922448
964,0.077561,0.92235
964.5,0.07766,0.922251
965,0.077759,0.922152
965.5,0.077858,0.922053
966,0.077958,0.921953
966.5,0.078058,0.921853
967,0.078158,0.921753
967.5,0.078258,0.921653
968,0.078359,0.921552
968.5,0.07846,0.921452
969,0.078561,0.921351
969.5,0.078662,0.921249
970,0.078764,0.921148
970.5,0.078865,0.921047
971,0.078967,0.920945
971.5,0.079069,0.920843
972,0.079171,0.920741
972.5,0.079273,0.920639
973,0.079375,0.920537
973.5,0.079478,0.920435
974,0.07958,0.920333
974.5,0.079682,0.92023
975,0.079785,0.920128
975.5,0.079887,0.920025
976,0.07999,0.919923
976.5,0.080092,0.919821
977,0.080195,0.919718
977.5,0.080297,0.919616
978,0.0804,0.919513
978.5,0.080502,0.919411
979,0.080605,0.919309
979.5,0.080707,0.919207
980,0.080809,0.919105
980.5,0.080911,0.919003
981,0.081013,0.918901
981.5,0.081115,0.918799
982,0.081217,0.918697
982.5,0.081318,0.918596
983,0.08142,0.918495
983.5,0.081521,0.918394
984,0.081622,0.918293
984.5,0.081723,0.918192
985,0.081823,0.918092
985.5,0.081923,0.917991
986,0.082023,0.917891
986.5,0.082123,0.917792
987,0.082223,0.917692
987.5,0.082322,0.917593
988,0.082421,0.917494
988.5,0.08252,0.917395
989,0.082618,0.917297
989.5,0.082717,0.917199
990,0.082814,0.917101
990.5,0.082912,0.917004
991,0.083009,0.916907
991.5,0.083106,0.91681
992,0.083202,0.916714
992.5,0.083299,0.916618
993,0.083394,0.916522
993.5,0.08349,0.916427
994,0.083585,0.916332
994.5,0.083679,0.916237
995,0.083773,0.916143
995.5,0.083867,0.916049
996,0.083961,0.915956
996.5,0.084053,0.915863
997,0.084146,0.915771
997.5,0.084238,0.915679
998,0.084329,0.915588
998.5,0.08442,0.915497
999,0.084511,0.915406
999.5,0.084601,0.915316
1000,0.084691,0.915227
1000.5,0.08478,0.915138
1001,0.084868,0.915049
1001.5,0.084957,0.914961
1002,0.085044,0.914874
1002.5,0.085131,0.914787
1003,0.085218,0.9147
1003.5,0.085304,0.914614
1004,0.085389,0.914529
1004.5,0.085474,0.914444
1005,0.085558,0.91436
1005.5,0.085642,0.914277
1006,0.085725,0.914193
1006.5,0.085808,0.914111
1007,0.08589,0.914029
1007.5,0.085971,0.913948
1008,0.086052,0.913867
1008.5,0.086132,0.913787
1009,0.086211,0.913708
1009.5,0.08629,0.913629
1010,0.086368,0.913551
1010.5,0.086446,0.913474
1011,0.086523,0.913397
1011.5,0.086599,0.913321
1012,0.086674,0.913245
1012.5,0.086749,0.91317
1013,0.086824,0.913096
1013.5,0.086897,0.913023
1014,0.08697,0.91295
1014.5,0.087042,0.912878
1015,0.087114,0.912806
1015.5,0.087185,0.912735
1016,0.087255,0.912665
1016.5,0.087325,0.912596
1017,0.087393,0.912527
1017.5,0.087461,0.912459
1018,0.087529,0.912392
1018.5,0.087595,0.912325
1019,0.087661,0.912259
1019.5,0.087727,0.912194
1020,0.087791,0.91213
1020.5,0.087855,0.912066
1021,0.087918,0.912003
1021.5,0.08798,0.911941
1022,0.088042,0.91188
1022.5,0.088102,0.911819
1023,0.088163,0.911759
1023.5,0.088222,0.9117
1024,0.08828,0.911641
1024.5,0.088338,0.911584
1025,0.088395,0.911527
1025.5,0.088452,0.91147
1026,0.088507,0.911415
1026.5,0.088562,0.91136
1027,0.088616,0.911306
1027.5,0.088669,0.911253
1028,0.088722,0.911201
1028.5,0.088773,0.911149
1029,0.088824,0.911098
1029.5,0.088875,0.911048
1030,0.088924,0.910999
1030.5,0.088973,0.91095
1031,0.089021,0.910902
1031.5,0.089068,0.910855
1032,0.089114,0.910809
1032.5,0.08916,0.910763
1033,0.089204,0.910719
1033.5,0.089248,0.910675
1034,0.089292,0.910632
1034.5,0.089334,0.910589
1035,0.089376,0.910548
1035.5,0.089417,0.910507
1036,0.089457,0.910467
1036.5,0.089496,0.910428
1037,0.089534,0.910389
1037.5,0.089572,0.910352
1038,0.089609,0.910315
1038.5,0.089645,0.910279
1039,0.089681,0.910243
1039.5,0.089715,0.910209
1040,0.089749,0.910175
1040.5,0.089782,0.910142
1041,0.089814,0.91011
1041.5,0.089846,0.910079
1042,0.089877,0.910048
1042.5,0.089906,0.910018
1043,0.089936,0.909989
1043.5,0.089964,0.909961
1044,0.089992,0.909933
1044.5,0.090018,0.909906
1045,0.090044,0.909881
1045.5,0.09007,0.909855
1046,0.090094,0.909831
1046.5,0.090118,0.909807
1047,0.090141,0.909784
1047.5,0.090163,0.909762
1048,0.090184,0.909741
1048.5,0.090205,0.90972
1049,0.090225,0.909701
1049.5,0.090244,0.909682
1050,0.090262,0.909663
1050.5,0.09028,0.909646
1051,0.090297,0.909629
1051.5,0.090313,0.909613
1052,0.090328,0.909598
1052.5,0.090343,0.909583
1053,0.090357,0.909569
1053.5,0.09037,0.909557
1054,0.090382,0.909544
1054.5,0.090394,0.909533
1055,0.090404,0.909522
1055.5,0.090415,0.909512
1056,0.090424,0.909503
1056.5,0.090433,0.909494
1057,0.09044,0.909486
1057.5,0.090448,0.909479
1058,0.090454,0.909473
1058.5,0.09046,0.909467
1059,0.090465,0.909462
1059.5,0.090469,0.909458
1060,0.090473,0.909454
1060.5,0.090476,0.909451
1061,0.090478,0.909449
1061.5,0.090479,0.909448
1062,0.09048,0.909447
1062.5,0.09048,0.909447
1063,0.09048,0.909448
1063.5,0.090478,0.909449
1064,0.090477,0.909451
1064.5,0.090474,0.909454
1065,0.090471,0.909457
1065.5,0.090467,0.909461
1066,0.090462,0.909466
1066.5,0.090456,0.909471
1067,0.09045,0.909478
1067.5,0.090444,0.909484
1068,0.090436,0.909492
1068.5,0.090428,0.9095
1069,0.09042,0.909508
1069.5,0.090411,0.909517
1070,0.090401,0.909527
1070.5,0.090391,0.909538
1071,0.09038,0.909549
1071.5,0.090368,0.90956
1072,0.090356,0.909572
1072.5,0.090344,0.909585
1073,0.09033,0.909599
1073.5,0.090316,0.909613
1074,0.090302,0.909627
1074.5,0.090286,0.909643
1075,0.090271,0.909658
1075.5,0.090254,0.909675
1076,0.090237,0.909692
1076.5,0.09022,0.90971
1077,0.090201,0.909728
1077.5,0.090183,0.909747
1078,0.090163,0.909766
1078.5,0.090144,0.909786
1079,0.090123,0.909806
1079.5,0.090102,0.909827
1080,0.090081,0.909849
1080.5,0.090059,0.909871
1081,0.090036,0.909894
1081.5,0.090013,0.909917
1082,0.089989,0.909941
1082.5,0.089965,0.909965
1083,0.08994,0.90999
1083.5,0.089915,0.910015
1084,0.089889,0.910041
1084.5,0.089863,0.910067
1085,0.089836,0.910094
1085.5,0.089809,0.910122
1086,0.089781,0.910149
1086.5,0.089753,0.910178
1087,0.089724,0.910207
1087.5,0.089695,0.910236
1088,0.089665,0.910266
1088.5,0.089635,0.910296
1089,0.089604,0.910327
1089.5,0.089573,0.910358
1090,0.089541,0.910389
1090.5,0.089509,0.910422
1091,0.089477,0.910454
1091.5,0.089444,0.910487
1092,0.089411,0.91052
1092.5,0.089377,0.910554
1093,0.089343,0.910589
1093.5,0.089308,0.910623
1094,0.089273,0.910658
1094.5,0.089238,0.910694
1095,0.089202,0.91073
1095.5,0.089165,0.910766
1096,0.089129,0.910803
1096.5,0.089092,0.91084
1097,0.089054,0.910877
1097.5,0.089017,0.910915
1098,0.088978,0.910954
1098.5,0.08894,0.910992
1099,0.088901,0.911031
1099.5,0.088862,0.91107
1100,0.088822,0.91111
