"46 layers, 1.45 microns total thickness",,
,,
nm,R,T
243,0.087009,0.883578
243.5,0.095578,0.87603
244,0.104846,0.867787
244.5,0.114288,0.859352
245,0.123411,0.851199
245.5,0.131765,0.843714
246,0.139016,0.837267
246.5,0.144895,0.832128
247,0.149203,0.828492
247.5,0.151816,0.826486
248,0.152665,0.826128
248.5,0.151755,0.827471
249,0.149125,0.830479
249.5,0.144864,0.835071
250,0.139103,0.841121
250.5,0.132419,0.848028
251,0.124733,0.855912
251.5,0.116276,0.864553
252,0.107312,0.873694
252.5,0.098139,0.883046
253,0.089091,0.892247
253.5,0.080494,0.901012
254,0.07268,0.909021
254.5,0.065964,0.915966
255,0.060617,0.92158
255.5,0.056848,0.925628
256,0.054782,0.928004
256.5,0.054456,0.928681
257,0.055813,0.927711
257.5,0.058711,0.925231
258,0.06293,0.921441
258.5,0.0682,0.916595
259,0.074234,0.910994
259.5,0.080733,0.904931
260,0.087403,0.898691
260.5,0.093978,0.892537
261,0.100215,0.886677
261.5,0.105926,0.881327
262,0.110952,0.876645
262.5,0.115173,0.872748
263,0.118504,0.869721
263.5,0.120897,0.867603
264,0.122335,0.866408
264.5,0.122822,0.866148
265,0.122387,0.866794
265.5,0.121078,0.868301
266,0.118965,0.870599
266.5,0.116138,0.873583
267,0.1127,0.877167
267.5,0.108766,0.88124
268,0.104467,0.885675
268.5,0.099942,0.890333
269,0.095339,0.895071
269.5,0.090809,0.899718
270,0.086496,0.904155
270.5,0.082537,0.908241
271,0.079061,0.911854
271.5,0.076173,0.914886
272,0.073959,0.917252
272.5,0.072474,0.918881
273,0.071741,0.919768
273.5,0.071755,0.919915
274,0.072483,0.919357
274.5,0.073863,0.918151
275,0.075812,0.916381
275.5,0.078219,0.91414
276,0.08098,0.911547
276.5,0.083975,0.908721
277,0.087085,0.905778
277.5,0.090193,0.902835
278,0.093191,0.899999
278.5,0.095977,0.89736
279,0.098466,0.89501
279.5,0.100588,0.893024
280,0.102283,0.891459
280.5,0.103507,0.89036
281,0.10423,0.889755
281.5,0.104436,0.889656
282,0.104124,0.890065
282.5,0.103306,0.890975
283,0.102006,0.892363
283.5,0.100258,0.894196
284,0.098106,0.896429
284.5,0.095608,0.899004
285,0.09283,0.901848
285.5,0.089842,0.9049
286,0.086724,0.908082
286.5,0.083561,0.91131
287,0.080439,0.914496
287.5,0.077448,0.917551
288,0.074678,0.920384
288.5,0.07221,0.922911
289,0.070124,0.92506
289.5,0.068488,0.926761
290,0.067359,0.927959
290.5,0.066781,0.928609
291,0.066781,0.928684
291.5,0.067371,0.928166
292,0.068545,0.927065
292.5,0.070282,0.925404
293,0.072545,0.923218
293.5,0.075285,0.920558
294,0.07844,0.917485
294.5,0.08194,0.914067
295,0.085704,0.91038
295.5,0.089656,0.906504
296,0.093717,0.902519
296.5,0.097809,0.898502
297,0.101855,0.894529
297.5,0.105785,0.890672
298,0.109533,0.886995
298.5,0.113039,0.883553
299,0.116252,0.880401
299.5,0.119128,0.877584
300,0.121631,0.875137
300.5,0.123696,0.873127
301,0.12535,0.871525
301.5,0.126578,0.870348
302,0.127372,0.869598
302.5,0.127732,0.869279
303,0.127657,0.869393
303.5,0.127156,0.869932
304,0.12624,0.870882
304.5,0.124928,0.872228
305,0.123241,0.873948
305.5,0.121206,0.876014
306,0.118853,0.878393
306.5,0.116215,0.881055
307,0.11333,0.883965
307.5,0.110238,0.887081
308,0.106982,0.89036
308.5,0.103608,0.893757
309,0.100165,0.897223
309.5,0.096704,0.900706
310,0.093273,0.904156
310.5,0.089919,0.90753
311,0.086689,0.910782
311.5,0.083629,0.913864
312,0.080782,0.916734
312.5,0.078187,0.919352
313,0.075879,0.921685
313.5,0.073888,0.923699
314,0.072236,0.925374
314.5,0.070941,0.926695
315,0.070011,0.92765
315.5,0.069451,0.928237
316,0.069257,0.928459
316.5,0.069417,0.928328
317,0.069916,0.927858
317.5,0.070729,0.927074
318,0.071829,0.926002
318.5,0.073187,0.924673
319,0.074769,0.92312
319.5,0.076538,0.921381
320,0.078457,0.919492
320.5,0.080487,0.917491
321,0.082591,0.915416
321.5,0.084731,0.913305
322,0.08687,0.911192
322.5,0.088977,0.909112
323,0.091019,0.907095
323.5,0.092968,0.905172
324,0.094799,0.903366
324.5,0.096488,0.901701
325,0.098016,0.900197
325.5,0.099367,0.89887
326,0.100525,0.897732
326.5,0.101483,0.896794
327,0.102232,0.896064
327.5,0.102769,0.895546
328,0.103092,0.895241
328.5,0.103202,0.895149
329,0.103103,0.895265
329.5,0.102801,0.895583
330,0.102306,0.896094
330.5,0.101629,0.896785
331,0.100781,0.897647
331.5,0.099777,0.898664
332,0.098633,0.899821
332.5,0.097366,0.9011
333,0.095996,0.902483
333.5,0.094541,0.90395
334,0.093023,0.905481
334.5,0.091463,0.907052
335,0.089883,0.908642
335.5,0.088304,0.910232
336,0.086748,0.911798
336.5,0.085235,0.913321
337,0.083787,0.914781
337.5,0.082422,0.916157
338,0.081159,0.917431
338.5,0.080014,0.918588
339,0.079002,0.91961
339.5,0.078137,0.920486
340,0.077428,0.921206
340.5,0.076882,0.921762
341,0.076507,0.922149
341.5,0.076305,0.922362
342,0.076277,0.922402
342.5,0.076422,0.922268
343,0.076737,0.921966
343.5,0.077214,0.921501
344,0.077846,0.92088
344.5,0.078623,0.920115
345,0.079533,0.919217
345.5,0.080563,0.918199
346,0.081697,0.917076
346.5,0.082921,0.915865
347,0.084218,0.91458
347.5,0.085571,0.913239
348,0.086963,0.911859
348.5,0.088377,0.910457
349,0.089793,0.909052
349.5,0.091199,0.907657
350,0.092578,0.906288
350.5,0.093912,0.904965
351,0.09519,0.903697
351.5,0.0964,0.902497
352,0.09753,0.901378
352.5,0.098568,0.90035
353,0.099504,0.899423
353.5,0.100331,0.898605
354,0.10104,0.897905
354.5,0.101626,0.897327
355,0.102083,0.896879
355.5,0.102407,0.896562
356,0.102596,0.896381
356.5,0.102649,0.896335
357,0.102565,0.896426
357.5,0.102346,0.896653
358,0.101993,0.897013
358.5,0.101509,0.897503
359,0.100901,0.898117
359.5,0.100172,0.898851
360,0.099329,0.8997
360.5,0.098377,0.900657
361,0.097326,0.901713
361.5,0.096184,0.902861
362,0.094959,0.90409
362.5,0.093663,0.905392
363,0.092306,0.906754
363.5,0.090898,0.908166
364,0.089452,0.909616
364.5,0.08798,0.911092
365,0.086494,0.912583
365.5,0.085005,0.914075
366,0.083528,0.915557
366.5,0.082073,0.917016
367,0.080653,0.91844
367.5,0.07928,0.919817
368,0.077967,0.921135
368.5,0.076723,0.922383
369,0.07556,0.92355
369.5,0.074489,0.924626
370,0.073517,0.925602
370.5,0.072652,0.926471
371,0.071902,0.927225
371.5,0.071274,0.927858
372,0.070772,0.928365
372.5,0.0704,0.928742
373,0.070161,0.928985
373.5,0.070058,0.929094
374,0.07009,0.929067
374.5,0.070257,0.928905
375,0.070557,0.92861
375.5,0.070988,0.928184
376,0.071545,0.927632
376.5,0.072223,0.92696
377,0.073016,0.926172
377.5,0.073918,0.925275
378,0.07492,0.924278
378.5,0.076016,0.923188
379,0.077195,0.922014
379.5,0.078449,0.920766
380,0.079769,0.919452
380.5,0.081143,0.918083
381,0.082559,0.916672
381.5,0.084012,0.915225
382,0.08549,0.913752
382.5,0.086984,0.912264
383,0.088484,0.910769
383.5,0.089981,0.909277
384,0.091466,0.907797
384.5,0.09293,0.906338
385,0.094364,0.904909
385.5,0.095761,0.903517
386,0.097113,0.90217
386.5,0.098413,0.900875
387,0.099655,0.899638
387.5,0.100832,0.898465
388,0.10194,0.897362
388.5,0.102972,0.896334
389,0.103925,0.895384
389.5,0.104795,0.894518
390,0.105579,0.893738
390.5,0.106274,0.893047
391,0.106878,0.892447
