"Case 6: 36 layer bluer dichroic with modified AOI NUV filter on same element bluer FUV filter",,
nm,Detector + Filter,%
207,0.8651,0.008651
208,0.802,0.00802
209,0.7428,0.007428
210,0.6893,0.006893
211,0.6389,0.006389
212,0.5931,0.005931
213,0.5504,0.005504
214,0.5114,0.005114
215,0.4757,0.004757
216,0.4437,0.004437
217,0.4133,0.004133
218,0.3852,0.003852
219,0.3598,0.003598
220,0.3367,0.003367
221,0.3153,0.003153
222,0.2961,0.002961
223,0.2782,0.002782
224,0.2623,0.002623
225,0.2475,0.002475
226,0.2339,0.002339
227,0.2218,0.002218
228,0.2113,0.002113
229,0.2024,0.002024
230,0.1944,0.001944
231,0.1871,0.001871
232,0.18,0.0018
233,0.1731,0.001731
234,0.1662,0.001662
235,0.1591,0.001591
236,0.152,0.00152
237,0.1449,0.001449
238,0.1378,0.001378
239,0.1308,0.001308
240,0.124,0.00124
241,0.1176,0.001176
242,0.1112,0.001112
243,0.1052,0.001052
244,0.0996,0.000996
245,0.0941,0.000941
246,0.0891,0.000891
247,0.0844,0.000844
248,0.0798,0.000798
249,0.0756,0.000756
250,0.0717,0.000717
251,0.0678,0.000678
252,0.0642,0.000642
253,0.0608,0.000608
254,0.0578,0.000578
255,0.0548,0.000548
256,0.0521,0.000521
257,0.0495,0.000495
258,0.0471,0.000471
259,0.0448,0.000448
260,0.0426,0.000426
261,0.0406,0.000406
262,0.0387,0.000387
263,0.0369,0.000369
264,0.0352,0.000352
265,0.0335,0.000335
266,0.0321,0.000321
267,0.0307,0.000307
268,0.0295,0.000295
269,0.0283,0.000283
270,0.0273,0.000273
271,0.0264,0.000264
272,0.0256,0.000256
273,0.0248,0.000248
274,0.0242,0.000242
275,0.0237,0.000237
276,0.0232,0.000232
277,0.0227,0.000227
278,0.0223,0.000223
279,0.022,0.00022
280,0.0216,0.000216
281,0.0213,0.000213
282,0.0209,0.000209
283,0.0206,0.000206
284,0.0203,0.000203
285,0.0201,0.000201
286,0.0199,0.000199
287,0.0197,0.000197
288,0.0197,0.000197
289,0.0197,0.000197
290,0.0198,0.000198
291,0.02,0.0002
292,0.0201,0.000201
293,0.0202,0.000202
294,0.0203,0.000203
295,0.0203,0.000203
296,0.0203,0.000203
297,0.0203,0.000203
298,0.0202,0.000202
299,0.0201,0.000201
300,0.02,0.0002
301,0.0199,0.000199
302,0.0197,0.000197
303,0.0196,0.000196
304,0.0194,0.000194
305,0.0192,0.000192
306,0.019,0.00019
307,0.0188,0.000188
308,0.0186,0.000186
309,0.0183,0.000183
310,0.0181,0.000181
311,0.0179,0.000179
312,0.0177,0.000177
313,0.0175,0.000175
314,0.0172,0.000172
315,0.017,0.00017
316,0.0168,0.000168
317,0.0165,0.000165
318,0.0163,0.000163
319,0.0161,0.000161
320,0.0159,0.000159
321,0.0156,0.000156
322,0.0154,0.000154
323,0.0152,0.000152
324,0.015,0.00015
325,0.0148,0.000148
326,0.0146,0.000146
327,0.0144,0.000144
328,0.0142,0.000142
329,0.014,0.00014
330,0.0138,0.000138
331,0.0136,0.000136
332,0.0134,0.000134
333,0.0133,0.000133
334,0.0131,0.000131
335,0.0129,0.000129
336,0.0127,0.000127
337,0.0126,0.000126
338,0.0124,0.000124
339,0.0122,0.000122
340,0.012,0.00012
341,0.0119,0.000119
342,0.0117,0.000117
343,0.0115,0.000115
344,0.0114,0.000114
345,0.0112,0.000112
346,0.011,0.00011
347,0.0109,0.000109
348,0.0107,0.000107
349,0.0106,0.000106
350,0.0104,0.000104
351,0.0103,0.000103
352,0.0101,0.000101
353,0.01,0.0001
354,0.0098,0.000098
355,0.0096,0.000096
356,0.0095,0.000095
357,0.0093,0.000093
358,0.0092,0.000092
359,0.0091,0.000091
360,0.0089,0.000089
361,0.0088,0.000088
362,0.0087,0.000087
363,0.0086,0.000086
364,0.0086,0.000086
365,0.0085,0.000085
366,0.0085,0.000085
367,0.0084,0.000084
368,0.0084,0.000084
369,0.0084,0.000084
370,0.0084,0.000084
371,0.0084,0.000084
372,0.0085,0.000085
373,0.0085,0.000085
374,0.0085,0.000085
375,0.0085,0.000085
376,0.0086,0.000086
377,0.0086,0.000086
378,0.0086,0.000086
379,0.0087,0.000087
380,0.0087,0.000087
381,0.0087,0.000087
382,0.0087,0.000087
383,0.0087,0.000087
384,0.0087,0.000087
385,0.0087,0.000087
386,0.0087,0.000087
387,0.0087,0.000087
388,0.0087,0.000087
389,0.0087,0.000087
390,0.0087,0.000087
391,0.0087,0.000087
392,0.0087,0.000087
393,0.0087,0.000087
394,0.0087,0.000087
395,0.0087,0.000087
396,0.0087,0.000087
397,0.0087,0.000087
398,0.0087,0.000087
399,0.0087,0.000087
400,0.0087,0.000087
401,0.0087,0.000087
402,0.0087,0.000087
403,0.0086,0.000086
404,0.0086,0.000086
405,0.0086,0.000086
406,0.0086,0.000086
407,0.0086,0.000086
408,0.0086,0.000086
409,0.0085,0.000085
410,0.0085,0.000085
411,0.0085,0.000085
412,0.0085,0.000085
413,0.0085,0.000085
414,0.0084,0.000084
415,0.0084,0.000084
416,0.0084,0.000084
417,0.0083,0.000083
418,0.0083,0.000083
419,0.0083,0.000083
420,0.0082,0.000082
421,0.0082,0.000082
422,0.0082,0.000082
423,0.0081,0.000081
424,0.0081,0.000081
425,0.0081,0.000081
426,0.0081,0.000081
427,0.008,0.00008
428,0.008,0.00008
429,0.008,0.00008
430,0.0079,0.000079
431,0.0079,0.000079
432,0.0079,0.000079
433,0.0078,0.000078
434,0.0078,0.000078
435,0.0078,0.000078
436,0.0077,0.000077
437,0.0077,0.000077
438,0.0077,0.000077
439,0.0076,0.000076
440,0.0076,0.000076
441,0.0076,0.000076
442,0.0075,0.000075
443,0.0075,0.000075
444,0.0075,0.000075
445,0.0075,0.000075
446,0.0074,0.000074
447,0.0074,0.000074
448,0.0074,0.000074
449,0.0074,0.000074
450,0.0073,0.000073
451,0.0073,0.000073
452,0.0073,0.000073
453,0.0073,0.000073
454,0.0072,0.000072
455,0.0072,0.000072
456,0.0072,0.000072
457,0.0072,0.000072
458,0.0071,0.000071
459,0.0071,0.000071
460,0.0071,0.000071
461,0.0071,0.000071
462,0.007,0.00007
463,0.007,0.00007
464,0.007,0.00007
465,0.007,0.00007
466,0.0069,0.000069
467,0.0069,0.000069
468,0.0069,0.000069
469,0.0069,0.000069
470,0.0068,0.000068
471,0.0068,0.000068
472,0.0068,0.000068
473,0.0068,0.000068
474,0.0067,0.000067
475,0.0067,0.000067
476,0.0067,0.000067
477,0.0067,0.000067
478,0.0067,0.000067
479,0.0067,0.000067
480,0.0066,0.000066
481,0.0066,0.000066
482,0.0066,0.000066
483,0.0066,0.000066
484,0.0066,0.000066
485,0.0066,0.000066
486,0.0065,0.000065
487,0.0065,0.000065
488,0.0065,0.000065
489,0.0065,0.000065
490,0.0065,0.000065
491,0.0064,0.000064
492,0.0064,0.000064
493,0.0064,0.000064
494,0.0064,0.000064
495,0.0064,0.000064
496,0.0064,0.000064
497,0.0063,0.000063
498,0.0063,0.000063
499,0.0063,0.000063
500,0.0063,0.000063
501,0.0063,0.000063
502,0.0063,0.000063
503,0.0062,0.000062
504,0.0062,0.000062
505,0.0062,0.000062
506,0.0062,0.000062
507,0.0062,0.000062
508,0.0062,0.000062
509,0.0061,0.000061
510,0.0061,0.000061
511,0.0061,0.000061
512,0.0061,0.000061
513,0.0061,0.000061
514,0.0061,0.000061
515,0.0061,0.000061
516,0.006,0.00006
517,0.006,0.00006
518,0.006,0.00006
519,0.006,0.00006
520,0.006,0.00006
521,0.006,0.00006
522,0.006,0.00006
523,0.0059,0.000059
524,0.0059,0.000059
525,0.0059,0.000059
526,0.0059,0.000059
527,0.0059,0.000059
528,0.0059,0.000059
529,0.0059,0.000059
530,0.0059,0.000059
531,0.0058,0.000058
532,0.0058,0.000058
533,0.0058,0.000058
534,0.0058,0.000058
535,0.0058,0.000058
536,0.0058,0.000058
537,0.0058,0.000058
538,0.0057,0.000057
539,0.0057,0.000057
540,0.0057,0.000057
541,0.0057,0.000057
542,0.0057,0.000057
543,0.0057,0.000057
544,0.0057,0.000057
545,0.0056,0.000056
546,0.0056,0.000056
547,0.0056,0.000056
548,0.0056,0.000056
549,0.0056,0.000056
550,0.0056,0.000056
551,0.0056,0.000056
552,0.0056,0.000056
553,0.0056,0.000056
554,0.0055,0.000055
555,0.0055,0.000055
556,0.0055,0.000055
557,0.0055,0.000055
558,0.0055,0.000055
559,0.0055,0.000055
560,0.0055,0.000055
561,0.0054,0.000054
562,0.0054,0.000054
563,0.0054,0.000054
564,0.0054,0.000054
565,0.0054,0.000054
566,0.0054,0.000054
567,0.0054,0.000054
568,0.0054,0.000054
569,0.0054,0.000054
570,0.0054,0.000054
571,0.0054,0.000054
572,0.0053,0.000053
573,0.0053,0.000053
574,0.0053,0.000053
575,0.0053,0.000053
576,0.0052,0.000052
577,0.0052,0.000052
578,0.0052,0.000052
579,0.0052,0.000052
580,0.0052,0.000052
581,0.0052,0.000052
582,0.0052,0.000052
583,0.0052,0.000052
584,0.0052,0.000052
585,0.0052,0.000052
586,0.0052,0.000052
587,0.0052,0.000052
588,0.0052,0.000052
589,0.0052,0.000052
590,0.0052,0.000052
591,0.0052,0.000052
592,0.0051,0.000051
593,0.0051,0.000051
594,0.0051,0.000051
595,0.0051,0.000051
596,0.0051,0.000051
597,0.005,0.00005
598,0.005,0.00005
599,0.005,0.00005
600,0.005,0.00005
601,0.005,0.00005
602,0.005,0.00005
603,0.005,0.00005
604,0.005,0.00005
605,0.005,0.00005
606,0.005,0.00005
607,0.005,0.00005
608,0.005,0.00005
609,0.0049,0.000049
610,0.0049,0.000049
611,0.0049,0.000049
612,0.0049,0.000049
613,0.0049,0.000049
614,0.0049,0.000049
615,0.0049,0.000049
616,0.0049,0.000049
617,0.0049,0.000049
618,0.0048,0.000048
619,0.0048,0.000048
620,0.0048,0.000048
621,0.0048,0.000048
622,0.0048,0.000048
623,0.0048,0.000048
624,0.0048,0.000048
625,0.0048,0.000048
626,0.0048,0.000048
627,0.0047,0.000047
628,0.0047,0.000047
629,0.0047,0.000047
630,0.0047,0.000047
631,0.0047,0.000047
632,0.0046,0.000046
633,0.0046,0.000046
634,0.0046,0.000046
635,0.0046,0.000046
636,0.0046,0.000046
637,0.0046,0.000046
638,0.0046,0.000046
639,0.0046,0.000046
640,0.0046,0.000046
641,0.0046,0.000046
642,0.0045,0.000045
643,0.0045,0.000045
644,0.0045,0.000045
645,0.0045,0.000045
646,0.0045,0.000045
647,0.0045,0.000045
648,0.0045,0.000045
649,0.0045,0.000045
650,0.0045,0.000045
651,0.0045,0.000045
652,0.0045,0.000045
653,0.0044,0.000044
654,0.0044,0.000044
655,0.0044,0.000044
656,0.0044,0.000044
657,0.0044,0.000044
658,0.0044,0.000044
659,0.0044,0.000044
660,0.0044,0.000044
661,0.0044,0.000044
662,0.0044,0.000044
663,0.0044,0.000044
664,0.0044,0.000044
665,0.0044,0.000044
666,0.0044,0.000044
667,0.0044,0.000044
668,0.0044,0.000044
669,0.0044,0.000044
670,0.0044,0.000044
671,0.0044,0.000044
672,0.0044,0.000044
673,0.0044,0.000044
674,0.0044,0.000044
675,0.0043,0.000043
676,0.0043,0.000043
677,0.0043,0.000043
678,0.0043,0.000043
679,0.0043,0.000043
680,0.0043,0.000043
681,0.0042,0.000042
682,0.0042,0.000042
683,0.0042,0.000042
684,0.0042,0.000042
685,0.0042,0.000042
686,0.0042,0.000042
687,0.0042,0.000042
688,0.0043,0.000043
689,0.0043,0.000043
690,0.0043,0.000043
691,0.0043,0.000043
692,0.0043,0.000043
693,0.0043,0.000043
694,0.0043,0.000043
695,0.0043,0.000043
696,0.0044,0.000044
697,0.0044,0.000044
698,0.0044,0.000044
699,0.0044,0.000044
700,0.0043,0.000043
701,0.0043,0.000043
702,0.0043,0.000043
703,0.0043,0.000043
704,0.0044,0.000044
705,0.0043,0.000043
706,0.0043,0.000043
707,0.0043,0.000043
708,0.0043,0.000043
709,0.0043,0.000043
710,0.0042,0.000042
711,0.0042,0.000042
712,0.0043,0.000043
713,0.0043,0.000043
714,0.0043,0.000043
715,0.0043,0.000043
716,0.0043,0.000043
717,0.0043,0.000043
718,0.0043,0.000043
719,0.0043,0.000043
720,0.0043,0.000043
721,0.0043,0.000043
722,0.0043,0.000043
723,0.0043,0.000043
724,0.0043,0.000043
725,0.0042,0.000042
726,0.0042,0.000042
727,0.0043,0.000043
728,0.0043,0.000043
729,0.0042,0.000042
730,0.0042,0.000042
731,0.0042,0.000042
732,0.0043,0.000043
733,0.0043,0.000043
734,0.0044,0.000044
735,0.0044,0.000044
736,0.0045,0.000045
737,0.0044,0.000044
738,0.0044,0.000044
739,0.0045,0.000045
740,0.0045,0.000045
741,0.0045,0.000045
742,0.0045,0.000045
743,0.0045,0.000045
744,0.0045,0.000045
745,0.0045,0.000045
746,0.0045,0.000045
747,0.0045,0.000045
748,0.0046,0.000046
749,0.0046,0.000046
750,0.0046,0.000046
751,0.0046,0.000046
752,0.0046,0.000046
753,0.0047,0.000047
754,0.0047,0.000047
755,0.0048,0.000048
756,0.0048,0.000048
757,0.0048,0.000048
758,0.0048,0.000048
759,0.0047,0.000047
760,0.0048,0.000048
761,0.0048,0.000048
762,0.0048,0.000048
763,0.0048,0.000048
764,0.0048,0.000048
765,0.0048,0.000048
766,0.0048,0.000048
767,0.0048,0.000048
768,0.0048,0.000048
769,0.0049,0.000049
770,0.0049,0.000049
771,0.0049,0.000049
772,0.0049,0.000049
773,0.005,0.00005
774,0.005,0.00005
775,0.0051,0.000051
776,0.0051,0.000051
777,0.0051,0.000051
778,0.0052,0.000052
779,0.0052,0.000052
780,0.0053,0.000053
781,0.0053,0.000053
782,0.0054,0.000054
783,0.0054,0.000054
784,0.0054,0.000054
785,0.0055,0.000055
786,0.0056,0.000056
787,0.0057,0.000057
788,0.0057,0.000057
789,0.0059,0.000059
790,0.0059,0.000059
791,0.0061,0.000061
792,0.0061,0.000061
793,0.0062,0.000062
794,0.0063,0.000063
795,0.0064,0.000064
796,0.0065,0.000065
797,0.0064,0.000064
798,0.0065,0.000065
799,0.0066,0.000066
800,0.0066,0.000066
801,0.0067,0.000067
802,0.0068,0.000068
803,0.0068,0.000068
804,0.007,0.00007
805,0.007,0.00007
806,0.0071,0.000071
807,0.0072,0.000072
808,0.0073,0.000073
809,0.0074,0.000074
810,0.0076,0.000076
811,0.0077,0.000077
812,0.0078,0.000078
813,0.0079,0.000079
814,0.008,0.00008
815,0.0082,0.000082
816,0.0083,0.000083
817,0.0083,0.000083
818,0.0084,0.000084
819,0.0085,0.000085
820,0.0085,0.000085
821,0.0085,0.000085
822,0.0085,0.000085
823,0.0086,0.000086
824,0.0086,0.000086
825,0.0086,0.000086
826,0.0086,0.000086
827,0.0087,0.000087
828,0.0088,0.000088
829,0.0088,0.000088
830,0.009,0.00009
831,0.009,0.00009
832,0.0091,0.000091
833,0.0092,0.000092
834,0.0093,0.000093
835,0.0094,0.000094
836,0.0095,0.000095
837,0.0096,0.000096
838,0.0097,0.000097
839,0.0097,0.000097
840,0.0098,0.000098
841,0.0099,0.000099
842,0.01,0.0001
843,0.0101,0.000101
844,0.0102,0.000102
845,0.0103,0.000103
846,0.0104,0.000104
847,0.0104,0.000104
848,0.0105,0.000105
849,0.0106,0.000106
850,0.0107,0.000107
851,0.0108,0.000108
852,0.0108,0.000108
853,0.0109,0.000109
854,0.011,0.00011
855,0.0111,0.000111
856,0.0112,0.000112
857,0.0113,0.000113
858,0.0114,0.000114
859,0.0114,0.000114
860,0.0116,0.000116
861,0.0117,0.000117
862,0.0117,0.000117
863,0.0118,0.000118
864,0.0119,0.000119
865,0.012,0.00012
866,0.0121,0.000121
867,0.0122,0.000122
868,0.0122,0.000122
869,0.0124,0.000124
870,0.0124,0.000124
871,0.0125,0.000125
872,0.0126,0.000126
873,0.0127,0.000127
874,0.0127,0.000127
875,0.0128,0.000128
876,0.0129,0.000129
877,0.013,0.00013
878,0.0131,0.000131
879,0.0132,0.000132
880,0.0133,0.000133
881,0.0133,0.000133
882,0.0134,0.000134
883,0.0135,0.000135
884,0.0135,0.000135
885,0.0137,0.000137
886,0.0137,0.000137
887,0.0137,0.000137
888,0.0136,0.000136
889,0.0136,0.000136
890,0.0135,0.000135
891,0.0135,0.000135
892,0.0134,0.000134
893,0.0134,0.000134
894,0.0133,0.000133
895,0.0133,0.000133
896,0.0133,0.000133
897,0.0132,0.000132
898,0.0132,0.000132
899,0.0131,0.000131
900,0.0131,0.000131
901,0.013,0.00013
902,0.0129,0.000129
903,0.0129,0.000129
904,0.0128,0.000128
905,0.0128,0.000128
906,0.0127,0.000127
907,0.0126,0.000126
908,0.0126,0.000126
909,0.0125,0.000125
910,0.0125,0.000125
911,0.0125,0.000125
912,0.0123,0.000123
913,0.0123,0.000123
914,0.0122,0.000122
915,0.012,0.00012
916,0.0119,0.000119
917,0.0118,0.000118
918,0.0117,0.000117
919,0.0116,0.000116
920,0.0115,0.000115
921,0.0114,0.000114
922,0.0113,0.000113
923,0.0112,0.000112
924,0.0111,0.000111
925,0.0109,0.000109
926,0.0109,0.000109
927,0.0108,0.000108
928,0.0106,0.000106
929,0.0105,0.000105
930,0.0105,0.000105
931,0.0103,0.000103
932,0.0102,0.000102
933,0.0101,0.000101
934,0.01,0.0001
935,0.0099,0.000099
936,0.0098,0.000098
937,0.0096,0.000096
938,0.0096,0.000096
939,0.0095,0.000095
940,0.0093,0.000093
941,0.0091,0.000091
942,0.0089,0.000089
943,0.0088,0.000088
944,0.0086,0.000086
945,0.0085,0.000085
946,0.0083,0.000083
947,0.0082,0.000082
948,0.008,0.00008
949,0.0079,0.000079
950,0.0077,0.000077
951,0.0076,0.000076
952,0.0074,0.000074
953,0.0073,0.000073
954,0.0072,0.000072
955,0.007,0.00007
956,0.0069,0.000069
957,0.0067,0.000067
958,0.0066,0.000066
959,0.0065,0.000065
960,0.0064,0.000064
961,0.0062,0.000062
962,0.006,0.00006
963,0.0059,0.000059
964,0.0058,0.000058
965,0.0056,0.000056
966,0.0055,0.000055
967,0.0054,0.000054
968,0.0053,0.000053
969,0.0052,0.000052
970,0.005,0.00005
971,0.005,0.00005
972,0.0048,0.000048
973,0.0048,0.000048
974,0.0046,0.000046
975,0.0044,0.000044
976,0.0044,0.000044
977,0.0042,0.000042
978,0.0042,0.000042
979,0.004,0.00004
980,0.004,0.00004
981,0.0038,0.000038
982,0.0038,0.000038
983,0.0036,0.000036
984,0.0036,0.000036
985,0.0034,0.000034
986,0.0034,0.000034
987,0.0032,0.000032
988,0.0032,0.000032
989,0.003,0.00003
990,0.003,0.00003
991,0.0028,0.000028
992,0.0027,0.000027
993,0.0027,0.000027
994,0.0025,0.000025
995,0.0025,0.000025
996,0.0023,0.000023
997,0.0023,0.000023
998,0.0022,0.000022
999,0.0021,0.000021
1000,0.002,0.00002
1001,0.002,0.00002
1002,0.0019,0.000019
1003,0.0019,0.000019
1004,0.002,0.00002
1005,0.002,0.00002
1006,0.0019,0.000019
1007,0.0019,0.000019
1008,0.0019,0.000019
1009,0.0018,0.000018
1010,0.0018,0.000018
1011,0.0018,0.000018
1012,0.0018,0.000018
1013,0.0018,0.000018
1014,0.0018,0.000018
1015,0.0018,0.000018
1016,0.0017,0.000017
1017,0.0017,0.000017
1018,0.0017,0.000017
1019,0.0017,0.000017
1020,0.0017,0.000017
1021,0.0017,0.000017
1022,0.0016,0.000016
1023,0.0016,0.000016
1024,0.0017,0.000017
1025,0.0016,0.000016
1026,0.0016,0.000016
1027,0.0016,0.000016
1028,0.0015,0.000015
1029,0.0016,0.000016
1030,0.0015,0.000015
1031,0.0015,0.000015
1032,0.0015,0.000015
1033,0.0014,0.000014
1034,0.0015,0.000015
1035,0.0015,0.000015
1036,0.0014,0.000014
1037,0.0015,0.000015
1038,0.0014,0.000014
1039,0.0014,0.000014
1040,0.0014,0.000014
1041,0.0014,0.000014
1042,0.0013,0.000013
1043,0.0014,0.000014
1044,0.0013,0.000013
1045,0.0013,0.000013
1046,0.0013,0.000013
1047,0.0013,0.000013
1048,0.0013,0.000013
1049,0.0013,0.000013
1050,0.0013,0.000013
1051,0.0012,0.000012
1052,0.0013,0.000013
1053,0.0012,0.000012
1054,0.0012,0.000012
1055,0.0012,0.000012
1056,0.0012,0.000012
1057,0.0012,0.000012
1058,0.0012,0.000012
1059,0.0011,0.000011
1060,0.0012,0.000012
1061,0.0011,0.000011
1062,0.0012,0.000012
1063,0.0011,0.000011
