"Case 6: 36 layer bluer dichroic with modified AOI NUV filter on same element, bluer FUV filter",,
nm,Detector + Filter,%
364,0.0086,0.000086
365,0.0085,0.000085
366,0.0085,0.000085
367,0.0084,0.000084
368,0.0084,0.000084
369,0.0084,0.000084
370,0.0084,0.000084
371,0.0084,0.000084
372,0.0085,0.000085
373,0.0085,0.000085
374,0.0085,0.000085
375,0.0085,0.000085
376,0.0086,0.000086
377,0.0086,0.000086
378,0.0086,0.000086
379,0.0086,0.000086
380,0.0087,0.000087
381,0.0087,0.000087
382,0.0087,0.000087
383,0.0087,0.000087
384,0.0087,0.000087
385,0.0087,0.000087
386,0.0087,0.000087
387,0.0087,0.000087
388,0.0087,0.000087
389,0.0087,0.000087
390,0.0087,0.000087
391,0.0087,0.000087
392,0.0087,0.000087
393,0.0087,0.000087
394,0.0087,0.000087
395,0.0087,0.000087
396,0.0087,0.000087
397,0.0087,0.000087
398,0.0087,0.000087
399,0.0087,0.000087
400,0.0086,0.000086
401,0.0086,0.000086
402,0.0086,0.000086
403,0.0086,0.000086
404,0.0086,0.000086
405,0.0086,0.000086
406,0.0086,0.000086
407,0.0085,0.000085
408,0.0085,0.000085
409,0.0085,0.000085
410,0.0085,0.000085
411,0.0085,0.000085
412,0.0084,0.000084
413,0.0084,0.000084
414,0.0084,0.000084
415,0.0084,0.000084
416,0.0083,0.000083
417,0.0083,0.000083
418,0.0083,0.000083
419,0.0082,0.000082
420,0.0082,0.000082
421,0.0082,0.000082
422,0.0081,0.000081
423,0.0081,0.000081
424,0.0081,0.000081
425,0.008,0.00008
426,0.008,0.00008
427,0.008,0.00008
428,0.0079,0.000079
429,0.0079,0.000079
430,0.0079,0.000079
431,0.0079,0.000079
432,0.0078,0.000078
433,0.0078,0.000078
434,0.0078,0.000078
435,0.0077,0.000077
436,0.0077,0.000077
437,0.0077,0.000077
438,0.0076,0.000076
439,0.0076,0.000076
440,0.0076,0.000076
441,0.0075,0.000075
442,0.0075,0.000075
443,0.0075,0.000075
444,0.0074,0.000074
445,0.0074,0.000074
446,0.0074,0.000074
447,0.0074,0.000074
448,0.0073,0.000073
449,0.0073,0.000073
450,0.0073,0.000073
451,0.0073,0.000073
452,0.0072,0.000072
453,0.0072,0.000072
454,0.0072,0.000072
455,0.0072,0.000072
456,0.0071,0.000071
457,0.0071,0.000071
458,0.0071,0.000071
459,0.0071,0.000071
460,0.007,0.00007
461,0.007,0.00007
462,0.007,0.00007
463,0.007,0.00007
464,0.0069,0.000069
465,0.0069,0.000069
466,0.0069,0.000069
467,0.0069,0.000069
468,0.0068,0.000068
469,0.0068,0.000068
470,0.0068,0.000068
471,0.0068,0.000068
472,0.0067,0.000067
473,0.0067,0.000067
474,0.0067,0.000067
475,0.0067,0.000067
476,0.0067,0.000067
477,0.0066,0.000066
478,0.0066,0.000066
479,0.0066,0.000066
480,0.0066,0.000066
481,0.0066,0.000066
482,0.0066,0.000066
483,0.0065,0.000065
484,0.0065,0.000065
485,0.0065,0.000065
486,0.0065,0.000065
487,0.0065,0.000065
488,0.0065,0.000065
489,0.0064,0.000064
490,0.0064,0.000064
491,0.0064,0.000064
492,0.0064,0.000064
493,0.0064,0.000064
494,0.0063,0.000063
495,0.0063,0.000063
496,0.0063,0.000063
497,0.0063,0.000063
498,0.0063,0.000063
499,0.0063,0.000063
500,0.0062,0.000062
501,0.0062,0.000062
502,0.0062,0.000062
503,0.0062,0.000062
504,0.0062,0.000062
505,0.0062,0.000062
506,0.0061,0.000061
507,0.0061,0.000061
508,0.0061,0.000061
509,0.0061,0.000061
510,0.0061,0.000061
511,0.0061,0.000061
512,0.0061,0.000061
513,0.006,0.00006
514,0.006,0.00006
515,0.006,0.00006
516,0.006,0.00006
517,0.006,0.00006
518,0.006,0.00006
519,0.006,0.00006
520,0.0059,0.000059
521,0.0059,0.000059
522,0.0059,0.000059
523,0.0059,0.000059
524,0.0059,0.000059
525,0.0059,0.000059
526,0.0059,0.000059
527,0.0058,0.000058
528,0.0058,0.000058
529,0.0058,0.000058
530,0.0058,0.000058
531,0.0058,0.000058
532,0.0058,0.000058
533,0.0058,0.000058
534,0.0057,0.000057
535,0.0057,0.000057
536,0.0057,0.000057
537,0.0057,0.000057
538,0.0057,0.000057
539,0.0057,0.000057
540,0.0057,0.000057
541,0.0056,0.000056
542,0.0056,0.000056
543,0.0056,0.000056
544,0.0056,0.000056
545,0.0056,0.000056
546,0.0056,0.000056
547,0.0056,0.000056
548,0.0056,0.000056
549,0.0055,0.000055
550,0.0055,0.000055
551,0.0055,0.000055
552,0.0055,0.000055
553,0.0055,0.000055
554,0.0055,0.000055
555,0.0055,0.000055
556,0.0055,0.000055
557,0.0054,0.000054
558,0.0054,0.000054
559,0.0054,0.000054
560,0.0054,0.000054
561,0.0054,0.000054
562,0.0054,0.000054
563,0.0054,0.000054
564,0.0054,0.000054
565,0.0054,0.000054
566,0.0053,0.000053
567,0.0053,0.000053
568,0.0053,0.000053
569,0.0053,0.000053
570,0.0053,0.000053
571,0.0053,0.000053
572,0.0053,0.000053
573,0.0053,0.000053
574,0.0053,0.000053
575,0.0053,0.000053
576,0.0053,0.000053
577,0.0053,0.000053
578,0.0052,0.000052
579,0.0052,0.000052
580,0.0052,0.000052
581,0.0052,0.000052
582,0.0052,0.000052
583,0.0052,0.000052
584,0.0052,0.000052
585,0.0052,0.000052
586,0.0052,0.000052
587,0.0052,0.000052
588,0.0052,0.000052
589,0.0052,0.000052
590,0.0051,0.000051
591,0.0051,0.000051
592,0.0051,0.000051
593,0.0051,0.000051
594,0.0051,0.000051
595,0.0051,0.000051
596,0.0051,0.000051
597,0.0051,0.000051
598,0.0051,0.000051
599,0.0051,0.000051
600,0.0051,0.000051
601,0.0051,0.000051
602,0.0051,0.000051
603,0.005,0.00005
604,0.005,0.00005
605,0.005,0.00005
606,0.005,0.00005
607,0.005,0.00005
608,0.005,0.00005
609,0.005,0.00005
610,0.005,0.00005
611,0.005,0.00005
612,0.005,0.00005
613,0.005,0.00005
614,0.005,0.00005
615,0.005,0.00005
616,0.0049,0.000049
617,0.0049,0.000049
618,0.0049,0.000049
619,0.0049,0.000049
620,0.0049,0.000049
621,0.0049,0.000049
622,0.0049,0.000049
623,0.0049,0.000049
624,0.0049,0.000049
625,0.0049,0.000049
626,0.0049,0.000049
627,0.0049,0.000049
628,0.0049,0.000049
629,0.0049,0.000049
630,0.0049,0.000049
631,0.0049,0.000049
632,0.0049,0.000049
633,0.0049,0.000049
634,0.0049,0.000049
635,0.0049,0.000049
636,0.0049,0.000049
637,0.0049,0.000049
638,0.0049,0.000049
639,0.0049,0.000049
640,0.0049,0.000049
641,0.0049,0.000049
642,0.0049,0.000049
643,0.0049,0.000049
644,0.0049,0.000049
645,0.0049,0.000049
646,0.0048,0.000048
647,0.0048,0.000048
648,0.0048,0.000048
649,0.0048,0.000048
650,0.0048,0.000048
651,0.0048,0.000048
652,0.0048,0.000048
653,0.0048,0.000048
654,0.0048,0.000048
655,0.0048,0.000048
656,0.0048,0.000048
657,0.0049,0.000049
658,0.0049,0.000049
659,0.0049,0.000049
660,0.0049,0.000049
661,0.0049,0.000049
662,0.0049,0.000049
663,0.0049,0.000049
664,0.0049,0.000049
665,0.0049,0.000049
666,0.0049,0.000049
667,0.0049,0.000049
668,0.0049,0.000049
669,0.0049,0.000049
670,0.0049,0.000049
671,0.0049,0.000049
672,0.0049,0.000049
673,0.0049,0.000049
674,0.0049,0.000049
675,0.0049,0.000049
676,0.0049,0.000049
677,0.005,0.00005
678,0.005,0.00005
679,0.005,0.00005
680,0.005,0.00005
681,0.005,0.00005
682,0.005,0.00005
683,0.005,0.00005
684,0.005,0.00005
685,0.005,0.00005
686,0.005,0.00005
687,0.005,0.00005
688,0.005,0.00005
689,0.005,0.00005
690,0.005,0.00005
691,0.005,0.00005
692,0.005,0.00005
693,0.0051,0.000051
694,0.0051,0.000051
695,0.0051,0.000051
696,0.0051,0.000051
697,0.0051,0.000051
698,0.0051,0.000051
699,0.0051,0.000051
700,0.0051,0.000051
701,0.0052,0.000052
702,0.0052,0.000052
703,0.0052,0.000052
704,0.0052,0.000052
705,0.0052,0.000052
706,0.0052,0.000052
707,0.0052,0.000052
708,0.0053,0.000053
709,0.0053,0.000053
710,0.0053,0.000053
711,0.0053,0.000053
712,0.0053,0.000053
713,0.0053,0.000053
714,0.0053,0.000053
715,0.0053,0.000053
716,0.0054,0.000054
717,0.0054,0.000054
718,0.0054,0.000054
719,0.0054,0.000054
720,0.0054,0.000054
721,0.0054,0.000054
722,0.0054,0.000054
