# date_modified : 2026-05-21
# orig_filename: 135_180nm_UVEX_Dichroic_vs_AOI.csv
# wavelength_unit: um
wavelength    reflection    transmission
0.3280        0.079580      0.906720
0.3290        0.079900      0.906560
0.3300        0.080260      0.906340
0.3310        0.080640      0.906100
0.3320        0.081080      0.905840
0.3330        0.081520      0.905540
0.3340        0.081960      0.905240
0.3350        0.082440      0.904940
0.3360        0.082860      0.904640
0.3370        0.083280      0.904360
0.3380        0.083660      0.904180
0.3390        0.083960      0.903980
0.3400        0.084260      0.903880
0.3410        0.084420      0.903820
0.3420        0.084580      0.903860
0.3430        0.084600      0.903960
0.3440        0.084560      0.904140
0.3450        0.084460      0.904400
0.3460        0.084280      0.904720
0.3470        0.084040      0.905120
0.3480        0.083760      0.905500
0.3490        0.083420      0.905980
0.3500        0.083080      0.906480
0.3510        0.082800      0.906920
0.3520        0.082500      0.907360
0.3530        0.082240      0.907740
0.3540        0.082040      0.908100
0.3550        0.081880      0.908400
0.3560        0.081840      0.908620
0.3570        0.081900      0.908700
0.3580        0.082060      0.908640
0.3590        0.082360      0.908500
0.3600        0.082840      0.908160
0.3610        0.083460      0.907700
0.3620        0.084240      0.907080
0.3630        0.085200      0.906280
0.3640        0.086300      0.905280
0.3650        0.087620      0.904160
0.3660        0.089020      0.902860
0.3670        0.090600      0.901440
0.3680        0.092320      0.899900
0.3690        0.094140      0.898260
0.3700        0.095980      0.896540
0.3710        0.097880      0.894800
0.3720        0.099760      0.893020
0.3730        0.101660      0.891320
0.3740        0.103440      0.889660
0.3750        0.105160      0.888100
0.3760        0.106700      0.886660
0.3770        0.108100      0.885420
0.3780        0.109300      0.884340
0.3790        0.110320      0.883460
0.3800        0.111100      0.882840
0.3810        0.111580      0.882420
0.3820        0.111860      0.882260
0.3830        0.111900      0.882420
0.3840        0.111660      0.882740
0.3850        0.111160      0.883340
0.3860        0.110420      0.884200
0.3870        0.109480      0.885240
0.3880        0.108300      0.886560
0.3890        0.106920      0.888040
0.3900        0.105400      0.889680
0.3910        0.103680      0.891500
0.3920        0.101860      0.893420
0.3930        0.099940      0.895480
0.3940        0.097900      0.897620
0.3950        0.095800      0.899820
0.3960        0.093660      0.902100
0.3970        0.091460      0.904380
0.3980        0.089260      0.906680
0.3990        0.087100      0.908960
0.4000        0.084980      0.911180
0.4010        0.082820      0.913340
0.4020        0.080740      0.915400
0.4030        0.078780      0.917420
0.4040        0.076880      0.919300
0.4050        0.075140      0.921080
0.4060        0.073520      0.922720
0.4070        0.072020      0.924220
0.4080        0.070680      0.925580
0.4090        0.069520      0.926800
0.4100        0.068520      0.927820
0.4110        0.067660      0.928660
0.4120        0.066980      0.929340
0.4130        0.066500      0.929860
0.4140        0.066180      0.930200
0.4150        0.066060      0.930340
0.4160        0.066080      0.930320
0.4170        0.066280      0.930160
0.4180        0.066600      0.929840
0.4190        0.067120      0.929380
0.4200        0.067720      0.928780
0.4210        0.068480      0.928080
0.4220        0.069320      0.927240
0.4230        0.070280      0.926300
0.4240        0.071300      0.925300
0.4250        0.072360      0.924280
0.4260        0.073480      0.923180
0.4270        0.074600      0.922060
0.4280        0.075740      0.920940
0.4290        0.076880      0.919820
0.4300        0.078000      0.918720
0.4310        0.079100      0.917660
0.4320        0.080100      0.916640
0.4330        0.081100      0.915680
0.4340        0.081980      0.914820
0.4350        0.082780      0.914040
0.4360        0.083500      0.913360
0.4370        0.084120      0.912780
0.4380        0.084600      0.912280
0.4390        0.085000      0.911900
0.4400        0.085280      0.911660
0.4410        0.085460      0.911480
0.4420        0.085540      0.911420
0.4430        0.085500      0.911500
0.4440        0.085340      0.911660
0.4450        0.085080      0.911960
0.4460        0.084680      0.912300
0.4470        0.084240      0.912780
0.4480        0.083720      0.913340
0.4490        0.083080      0.913980
0.4500        0.082360      0.914720
0.4510        0.081560      0.915520
0.4520        0.080720      0.916400
0.4530        0.079800      0.917320
0.4540        0.078840      0.918300
0.4550        0.077820      0.919300
0.4560        0.076800      0.920340
0.4570        0.075760      0.921420
0.4580        0.074680      0.922460
0.4590        0.073600      0.923580
0.4600        0.072520      0.924680
0.4610        0.071440      0.925760
0.4620        0.070380      0.926840
0.4630        0.069340      0.927920
0.4640        0.068300      0.928940
0.4650        0.067300      0.929980
0.4660        0.066340      0.930920
0.4670        0.065400      0.931840
0.4680        0.064500      0.932780
0.4690        0.063640      0.933640
0.4700        0.062840      0.934440
0.4710        0.062120      0.935200
0.4720        0.061400      0.935920
0.4730        0.060800      0.936580
0.4740        0.060180      0.937180
0.4750        0.059640      0.937700
0.4760        0.059160      0.938220
0.4770        0.058740      0.938660
0.4780        0.058380      0.939020
0.4790        0.058080      0.939360
0.4800        0.057800      0.939600
0.4810        0.057600      0.939840
0.4820        0.057440      0.939980
0.4830        0.057340      0.940100
0.4840        0.057320      0.940160
0.4850        0.057300      0.940220
0.4860        0.057360      0.940200
0.4870        0.057440      0.940080
0.4880        0.057540      0.939980
0.4890        0.057680      0.939860
0.4900        0.057860      0.939720
0.4910        0.058080      0.939500
0.4920        0.058320      0.939280
0.4930        0.058580      0.939020
0.4940        0.058860      0.938780
0.4950        0.059180      0.938460
0.4960        0.059480      0.938160
0.4970        0.059800      0.937840
0.4980        0.060160      0.937520
0.4990        0.060500      0.937180
0.5000        0.060840      0.936860
0.5010        0.061200      0.936500
0.5020        0.061560      0.936180
0.5030        0.061940      0.935820
0.5040        0.062300      0.935480
0.5050        0.062640      0.935120
0.5060        0.062980      0.934780
0.5070        0.063360      0.934420
0.5080        0.063700      0.934120
