# date_modified : 2026-05-19
# orig_filename: graded_overcoat_00nm.csv
# wavelength_unit: nm
wavelength    transmission
115.0    0.300146
120.0    0.359919
125.0    0.417593
130.0    0.471430
135.0    0.528706
140.0    0.556095
145.0    0.583314
150.0    0.609631
155.0    0.634065
165.0    0.673609
175.0    0.688730
185.0    0.714984
195.0    0.738155
205.0    0.775046
225.0    0.771644
245.0    0.752259
265.0    0.716548
285.0    0.691579
305.0    0.626997
365.0    0.626997
